LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/1/1980;"2,2";"-4";"7";"-3,9";"64";"10";"7";"37";"0";"0";"0";"0";""
Milano;2/1/1980;"1,1";"-5";"8";"-6,4";"57";"11";"12";"37";"0";"0";"0";"0";""
Milano;3/1/1980;"2,5";"-2";"7";"-6,2";"53";"12";"13";"37";"0";"0";"0";"0";""
Milano;4/1/1980;"0,2";"-3";"3";"-3,3";"77";"9";"1";"5";"0";"0";"0";"0";""
Milano;5/1/1980;"0,4";"-1";"1";"-0,9";"91";"3";"0";"5";"0";"0";"0";"3,1";"neve "
Milano;6/1/1980;"-0,6";"-2";"2";"-1,4";"94";"2";"3";"15";"0";"0";"0";"1";"nebbia "
Milano;7/1/1980;"-2,1";"-3";"-1";"-2,1";"100";"0";"2";"9";"0";"0";"0";"0";"nebbia "
Milano;8/1/1980;"-3,1";"-4";"-2";"-3,1";"100";"0";"0";"0";"0";"0";"0";"0";"nebbia "
Milano;9/1/1980;"-1,2";"-4";"1,6";"-1,2";"100";"1";"0";"0";"0";"0";"0";"1";"neve nebbia "
Milano;10/1/1980;"-1,3";"-6";"2";"-1,7";"97";"1";"0";"0";"0";"1023";"0";"0";"nebbia "
Milano;11/1/1980;"-0,8";"-6";"3";"-2,9";"86";"6";"0";"0";"0";"1024";"0";"0";"nebbia "
Milano;12/1/1980;"-1";"-4";"2";"-2,9";"87";"4";"1";"13";"0";"1028";"0";"0";"neve "
Milano;13/1/1980;"-0,1";"-6";"3";"-1,2";"92";"4";"1";"9";"0";"1032";"0";"3,1";"neve nebbia "
Milano;14/1/1980;"-3,9";"-7";"-2";"-4,1";"99";"1";"0";"0";"0";"1029";"0";"0";"neve nebbia "
Milano;15/1/1980;"-0,8";"-2";"2";"-1,4";"96";"2";"1";"9";"0";"1011";"0";"16";"pioggia neve "
Milano;16/1/1980;"1,9";"1";"3";"1,6";"98";"2";"1";"7";"0";"1003";"0";"13";"pioggia nebbia "
Milano;17/1/1980;"2,8";"2";"4";"1,6";"92";"3";"0";"0";"0";"1012";"0";"0,5";"pioggia nebbia "
Milano;18/1/1980;"2,9";"2";"5";"0,3";"83";"6";"1";"7";"0";"1016";"0";"0";""
Milano;19/1/1980;"3,4";"1";"6";"2,3";"92";"2";"0";"7";"0";"1014";"0";"0";"pioggia nebbia "
Milano;20/1/1980;"3,9";"2";"8";"2,5";"91";"3";"3";"11";"0";"1014";"0";"0";"pioggia "
Milano;21/1/1980;"2,4";"0,8";"4";"1,9";"96";"1";"0";"5";"0";"1019";"0";"0";"pioggia nebbia "
Milano;22/1/1980;"2,7";"2";"3";"2,5";"99";"2";"2";"9";"0";"1017";"0";"13";"pioggia neve "
Milano;23/1/1980;"3";"1";"6";"2,2";"94";"2";"4";"13";"0";"1011";"0";"9,1";"pioggia nebbia "
Milano;24/1/1980;"3,9";"2";"6";"3,2";"95";"1";"2";"11";"0";"1009";"0";"1";"pioggia nebbia "
Milano;25/1/1980;"3,6";"2";"6";"3,4";"99";"0";"0";"0";"0";"1012";"0";"0";"nebbia "
Milano;26/1/1980;"3,3";"2";"6";"2,9";"97";"1";"1";"9";"0";"1017";"0";"0";"pioggia nebbia "
Milano;27/1/1980;"1,4";"-2";"8";"0,6";"94";"3";"8";"18";"0";"1020";"0";"0";"nebbia "
Milano;28/1/1980;"1,4";"-4";"5";"-1,3";"82";"6";"0";"0";"0";"1029";"0";"0";"nebbia "
Milano;29/1/1980;"3,6";"2";"5";"1,2";"84";"4";"4";"11";"0";"1025";"0";"0";""
Milano;30/1/1980;"4,3";"3";"6";"2,3";"87";"4";"0";"0";"0";"1023";"0";"0";"pioggia "
Milano;31/1/1980;"3,3";"2";"4";"3,1";"99";"1";"1";"15";"0";"1014";"0";"8,6";"pioggia "
