LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/3/1980;"5,3";"-1";"12";"1,7";"78";"4";"0";"5";"0";"0";"0";"0";""
Milano;2/3/1980;"6,3";"1";"11";"3,4";"82";"2";"0";"7";"0";"0";"0";"0";""
Milano;3/3/1980;"10,2";"5";"16";"4,3";"67";"5";"8";"26";"0";"0";"0";"0";""
Milano;4/3/1980;"6,9";"3";"11";"2,2";"72";"9";"7";"15";"0";"0";"0";"0";""
Milano;5/3/1980;"6,3";"2";"9";"1,3";"70";"10";"1";"9";"0";"1022";"0";"0";""
Milano;6/3/1980;"6,7";"6";"8";"3,6";"81";"7";"2";"13";"0";"0";"0";"0";"pioggia "
Milano;7/3/1980;"5,3";"3";"7";"4";"91";"3";"1";"11";"0";"0";"0";"0";"pioggia "
Milano;8/3/1980;"4,9";"-0,2";"10";"3,3";"89";"2";"1";"7";"0";"0";"0";"0";"nebbia "
Milano;9/3/1980;"6,4";"-1,2";"14";"1,1";"69";"4";"4";"20";"0";"0";"0";"0";"nebbia "
Milano;10/3/1980;"9,1";"1";"17";"-0,6";"51";"10";"2";"11";"0";"0";"0";"0";""
Milano;11/3/1980;"7,7";"5";"11";"4,6";"81";"7";"4";"15";"0";"0";"0";"0";"pioggia "
Milano;12/3/1980;"7,6";"1";"15";"2,4";"70";"6";"3";"13";"0";"0";"0";"0";"nebbia "
Milano;13/3/1980;"6,4";"1";"9";"4,6";"88";"5";"14";"39";"59";"0";"0";"1";"pioggia "
Milano;14/3/1980;"6,3";"4";"8";"5,1";"92";"7";"27";"55";"81";"0";"0";"0";"pioggia "
Milano;15/3/1980;"5,3";"3";"8";"4,1";"92";"9";"6";"15";"0";"0";"0";"5,1";"pioggia temporale "
Milano;16/3/1980;"5,6";"2";"10";"4,2";"91";"8";"1";"13";"0";"0";"0";"0";"pioggia "
Milano;17/3/1980;"8,3";"4";"12";"4,1";"75";"8";"1";"9";"0";"0";"0";"0";""
Milano;18/3/1980;"7,3";"1";"14";"3,5";"77";"6";"1";"7";"0";"0";"0";"0";"nebbia "
Milano;19/3/1980;"8,1";"2";"14";"5,4";"83";"4";"2";"11";"0";"0";"0";"0";""
Milano;20/3/1980;"6,6";"5";"9";"6";"96";"4";"5";"24";"0";"0";"0";"18";"pioggia temporale "
Milano;21/3/1980;"8,3";"4";"14";"5,5";"82";"8";"3";"11";"0";"0";"0";"10,9";""
Milano;22/3/1980;"8,2";"6";"11";"6,3";"88";"6";"15";"35";"55";"0";"0";"1";"pioggia "
Milano;23/3/1980;"7,2";"6";"9";"6,6";"96";"8";"2";"17";"0";"0";"0";"18";"pioggia "
Milano;24/3/1980;"8,7";"7";"13";"6,9";"88";"4";"0";"7";"0";"0";"0";"0,8";"pioggia "
Milano;25/3/1980;"8,6";"7";"10";"7,4";"92";"4";"4";"13";"0";"0";"0";"0";"pioggia "
Milano;26/3/1980;"9";"6";"12";"6,7";"85";"6";"7";"18";"0";"0";"0";"4,1";"pioggia "
Milano;27/3/1980;"9,1";"7";"10";"7,6";"90";"4";"2";"9";"0";"0";"0";"3,1";"pioggia "
Milano;28/3/1980;"11";"6";"17";"8,6";"85";"4";"3";"15";"0";"0";"0";"0";"nebbia "
Milano;29/3/1980;"11,7";"9";"13";"10,6";"93";"2";"0";"0";"0";"0";"0";"0,5";"pioggia nebbia "
Milano;30/3/1980;"12,2";"5";"17";"5,7";"64";"7";"11";"44";"57";"0";"0";"0";"nebbia "
Milano;31/3/1980;"11,9";"8";"16";"7,1";"72";"10";"2";"15";"0";"1020";"0";"0";""
