LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/2/1982;"4,4";"1";"12";"2,4";"87";"3";"3";"15";"0";"0";"0";"0";"nebbia "
Milano;2/2/1982;"2,4";"-1,4";"6,2";"1,2";"92";"2";"2";"11";"0";"0";"0";"0";"nebbia "
Milano;3/2/1982;"2,3";"-2";"7";"-1,3";"77";"6";"2";"13";"0";"0";"0";"0";""
Milano;4/2/1982;"-1,4";"-5,5";"2";"-2,1";"95";"1";"0";"11";"0";"0";"0";"0";"nebbia "
Milano;5/2/1982;"-1,6";"-4";"1";"-1,8";"99";"0";"1";"13";"0";"0";"0";"0";"nebbia "
Milano;6/2/1982;"-1,1";"-3,3";"6";"-1,6";"96";"1";"0";"7";"0";"0";"0";"0";"nebbia "
Milano;7/2/1982;"1,8";"-1";"6,4";"-0,2";"87";"1";"0";"5";"0";"0";"0";"0";"nebbia "
Milano;8/2/1982;"3,9";"1";"6,3";"2,3";"89";"2";"0";"7";"0";"0";"0";"0";"nebbia "
Milano;9/2/1982;"1,9";"-0,4";"4,4";"1,7";"99";"0";"0";"0";"0";"0";"0";"0";"nebbia "
Milano;10/2/1982;"2,3";"1";"9";"1,4";"94";"0";"2";"11";"0";"0";"0";"0";"nebbia "
Milano;11/2/1982;"1,2";"-3";"5";"0,5";"95";"1";"2";"11";"0";"0";"0";"0";"nebbia "
Milano;12/2/1982;"0,9";"-3,6";"8,8";"0,2";"95";"1";"0";"7";"0";"0";"0";"0";"nebbia "
Milano;13/2/1982;"1,4";"-1";"6,9";"1,1";"98";"0";"2";"9";"0";"0";"0";"0";"nebbia "
Milano;14/2/1982;"1,1";"-1";"3,2";"0,7";"97";"1";"0";"0";"0";"0";"0";"0";"pioggia nebbia "
Milano;15/2/1982;"2,7";"0,5";"4";"2,2";"96";"1";"0";"7";"0";"0";"0";"11,9";"pioggia neve temporale nebbia "
Milano;16/2/1982;"4,5";"2,5";"7";"4,1";"97";"1";"0";"0";"0";"0";"0";"2";"pioggia nebbia "
Milano;17/2/1982;"7,1";"5,7";"9";"5,9";"92";"4";"2";"7";"0";"0";"0";"19,1";"pioggia "
Milano;18/2/1982;"8,6";"5";"15,2";"5,9";"83";"8";"1";"7";"0";"0";"0";"0";"nebbia "
Milano;19/2/1982;"6";"3,8";"7,4";"4";"87";"3";"4";"17";"0";"0";"0";"0";"nebbia "
Milano;20/2/1982;"4,6";"1";"6";"1,4";"80";"5";"7";"55";"0";"0";"0";"0";"pioggia "
Milano;21/2/1982;"1,8";"-1";"4,4";"-2,7";"72";"9";"10";"26";"0";"0";"0";"0";""
Milano;22/2/1982;"-0,9";"-4";"2";"-3,3";"84";"6";"8";"24";"0";"0";"0";"0";""
Milano;23/2/1982;"-1";"-2";"0,5";"-4,1";"79";"5";"4";"15";"0";"0";"0";"0";"neve "
Milano;24/2/1982;"0,3";"-1,6";"2,2";"-1,6";"87";"3";"0";"0";"0";"0";"0";"0,3";""
Milano;25/2/1982;"1,3";"-3";"7";"-2,5";"76";"4";"3";"11";"0";"0";"0";"0";""
Milano;26/2/1982;"2,1";"-1,4";"7,5";"-0,7";"82";"5";"1";"7";"0";"0";"0";"0";""
Milano;27/2/1982;"2,2";"-4";"9,4";"-1,6";"76";"4";"0";"5";"0";"0";"0";"0";"nebbia "
Milano;28/2/1982;"3,8";"-3";"11";"-0,1";"76";"3";"3";"11";"0";"0";"0";"0";""
