LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/6/1983;"20,9";"13";"26,4";"16,4";"75";"6";"2";"7";"0";"0";"0";"0";""
Milano;2/6/1983;"22,1";"17";"28,2";"16,1";"69";"8";"4";"15";"0";"0";"0";"0,3";"pioggia "
Milano;3/6/1983;"22,1";"15";"29";"16,5";"71";"10";"0";"7";"0";"0";"0";"0";""
Milano;4/6/1983;"23,5";"16";"30,3";"17,6";"70";"8";"1";"7";"0";"0";"0";"0";""
Milano;5/6/1983;"24,5";"17";"33";"18,1";"68";"9";"3";"9";"0";"0";"0";"0";""
Milano;6/6/1983;"23,5";"18";"29";"19,5";"78";"7";"7";"20";"0";"0";"0";"0";"pioggia "
Milano;7/6/1983;"20,7";"16";"26";"15,9";"74";"9";"10";"17";"0";"0";"0";"0";""
Milano;8/6/1983;"20,1";"15";"26";"14,5";"70";"11";"3";"9";"0";"0";"0";"0";""
Milano;9/6/1983;"21,7";"15";"28,4";"17,3";"76";"7";"3";"13";"0";"0";"0";"0";""
Milano;10/6/1983;"24";"16";"31";"19,1";"74";"6";"5";"20";"0";"0";"0";"0";"pioggia temporale "
Milano;11/6/1983;"22,6";"15";"28";"17,7";"74";"10";"6";"55";"0";"0";"0";"0,3";""
Milano;12/6/1983;"22,6";"17";"29";"17,7";"74";"11";"4";"9";"0";"0";"0";"0";""
Milano;13/6/1983;"19,4";"15";"26,4";"17";"86";"8";"5";"26";"0";"0";"0";"9,9";"pioggia temporale "
Milano;14/6/1983;"20,4";"13,5";"27";"16,1";"76";"6";"4";"8";"0";"0";"0";"0";""
Milano;15/6/1983;"21,6";"15,4";"28";"12,8";"57";"11";"8";"29";"0";"0";"0";"0";""
Milano;16/6/1983;"19,6";"14";"25";"8,4";"48";"10";"8";"21";"0";"0";"0";"0";""
Milano;17/6/1983;"18,3";"1,7";"27,7";"10,7";"61";"11";"3";"11";"0";"0";"0";"0";""
Milano;18/6/1983;"14,7";"11,8";"18";"12,2";"85";"9";"7";"18";"0";"1018";"0";"1";"pioggia "
Milano;19/6/1983;"18,6";"14,5";"23,2";"13,3";"71";"9";"5";"13";"0";"0";"0";"0";""
Milano;20/6/1983;"18,1";"15";"23,7";"15,7";"86";"5";"4";"28";"46";"0";"0";"0";"pioggia temporale "
Milano;21/6/1983;"17,7";"14,5";"23";"15,7";"88";"6";"3";"15";"0";"0";"0";"15";"pioggia temporale "
Milano;22/6/1983;"20,2";"14";"26";"16,1";"77";"7";"4";"9";"0";"0";"0";"0";"pioggia "
Milano;23/6/1983;"20,5";"15";"27";"16,9";"80";"6";"2";"13";"0";"0";"0";"0,5";"pioggia "
Milano;24/6/1983;"22,3";"17";"28,3";"17,2";"73";"7";"3";"15";"0";"0";"0";"0";""
Milano;25/6/1983;"22,5";"17";"29";"17,6";"74";"8";"5";"20";"0";"0";"0";"0";""
Milano;26/6/1983;"23,3";"18";"29";"17,1";"68";"10";"5";"15";"0";"0";"0";"0";""
Milano;27/6/1983;"19,6";"18";"22";"18,4";"93";"8";"1";"15";"0";"0";"0";"3,1";"pioggia "
Milano;28/6/1983;"20,7";"16,7";"27";"17,9";"84";"6";"5";"20";"0";"0";"0";"1";"pioggia temporale "
Milano;29/6/1983;"20,9";"15,5";"26,2";"16,9";"78";"8";"3";"11";"0";"0";"0";"0,5";""
Milano;30/6/1983;"22,3";"17,4";"27";"16";"68";"9";"5";"11";"0";"0";"0";"0";"pioggia "
