LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/12/1986;"1,3";"-4";"8,2";"-1,3";"83";"3";"2";"8";"0";"1032";"0";"0";"nebbia "
Milano;2/12/1986;"1,9";"-4";"9,4";"-0,2";"86";"2";"0";"0";"0";"1031";"0";"0";"nebbia "
Milano;3/12/1986;"1,8";"-4";"9,4";"-1,3";"80";"2";"1";"9";"0";"1036";"0";"0";"nebbia "
Milano;4/12/1986;"2,2";"-6,4";"12";"-0,8";"80";"3";"0";"0";"0";"1037";"0";"0";"nebbia "
Milano;5/12/1986;"1,7";"-3,2";"8,8";"-0,2";"87";"1";"0";"0";"0";"1034";"0";"0";"nebbia "
Milano;6/12/1986;"1,8";"-3";"8,3";"-0,3";"86";"2";"0";"0";"0";"1027";"0";"0";"nebbia "
Milano;7/12/1986;"4,2";"3,1";"6,4";"1,9";"85";"2";"0";"0";"0";"1026";"0";"0";""
Milano;8/12/1986;"4,2";"0,8";"7,7";"2,2";"87";"2";"1";"5";"0";"1026";"0";"0";"nebbia "
Milano;9/12/1986;"4,1";"2,7";"5,5";"3,5";"96";"2";"1";"5";"0";"1027";"0";"2";"pioggia "
Milano;10/12/1986;"5,2";"3";"8,7";"4,2";"93";"2";"1";"5";"0";"1030";"0";"2,3";"pioggia nebbia "
Milano;11/12/1986;"2,6";"0,6";"4,3";"2,6";"100";"0";"1";"8";"0";"1030";"0";"0";"nebbia "
Milano;12/12/1986;"1,1";"0,5";"2,3";"0,3";"94";"2";"1";"5";"0";"1027";"0";"0";"nebbia "
Milano;13/12/1986;"1,5";"0,7";"2,4";"0,1";"90";"4";"1";"8";"0";"1021";"0";"0,3";"pioggia "
Milano;14/12/1986;"2,2";"1,7";"2,8";"1,1";"92";"3";"0";"0";"0";"1018";"0";"7,1";"pioggia "
Milano;15/12/1986;"2,1";"1";"3,3";"1,2";"94";"2";"3";"13";"0";"1016";"0";"1";"nebbia "
Milano;16/12/1986;"1,3";"0,4";"2";"0,7";"96";"2";"5";"15";"0";"1015";"0";"0";"nebbia "
Milano;17/12/1986;"4,4";"-2,6";"11,4";"-3,3";"57";"21";"9";"28";"0";"1018";"0";"0";""
Milano;18/12/1986;"4,4";"1,7";"10,4";"-0,4";"71";"13";"3";"9";"0";"1018";"0";"0";""
Milano;19/12/1986;"4,8";"0,1";"13";"-4,2";"52";"17";"10";"34";"0";"1006";"0";"0";""
Milano;20/12/1986;"4,2";"-1,6";"10";"-3,8";"56";"24";"7";"24";"0";"1012";"0";"0";""
Milano;21/12/1986;"1,7";"-3";"7,6";"-2,9";"71";"23";"4";"11";"0";"1009";"0";"0";""
Milano;22/12/1986;"4,2";"-3";"9,1";"-9,8";"35";"44";"15";"24";"0";"1010";"0";"0";""
Milano;23/12/1986;"2,8";"-4,3";"8";"-11,3";"34";"40";"14";"24";"0";"1014";"0";"0";""
Milano;24/12/1986;"-1,8";"-6,7";"5,2";"-6,7";"69";"14";"0";"0";"0";"1022";"0";"0";""
Milano;25/12/1986;"-3,1";"-7,7";"3,8";"-7,8";"70";"11";"0";"0";"0";"1025";"0";"0";""
Milano;26/12/1986;"-0,6";"-3";"3,4";"-8";"57";"13";"4";"9";"0";"1016";"0";"0";""
Milano;27/12/1986;"0,8";"-4";"7,4";"-5,9";"61";"13";"5";"18";"0";"1013";"0";"0";""
Milano;28/12/1986;"4,9";"-2,2";"10,6";"-6,4";"44";"40";"14";"24";"0";"1020";"0";"0";""
Milano;29/12/1986;"7,6";"4,6";"10,8";"0,9";"62";"31";"19";"26";"0";"1018";"0";"0";""
Milano;30/12/1986;"2,1";"-3,2";"6,8";"0,2";"87";"4";"0";"0";"0";"1018";"0";"0";""
Milano;31/12/1986;"1,4";"-0,7";"6,4";"0,6";"94";"1";"0";"0";"0";"1017";"0";"0";"nebbia "
