LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/4/1990;"12,6";"5";"19,3";"6,6";"67";"5";"3";"9";"0";"1028";"1015";"0";""
Milano;2/4/1990;"13";"6";"19";"7,3";"68";"4";"2";"8";"0";"1018";"1005";"0";"pioggia "
Milano;3/4/1990;"10,3";"9";"11,4";"9,3";"94";"3";"2";"11";"0";"1009";"996";"9,9";"pioggia "
Milano;4/4/1990;"13,1";"9,5";"18,4";"6,8";"66";"10";"1";"9";"0";"1010";"997";"10,9";"pioggia "
Milano;5/4/1990;"11,4";"8,7";"16,4";"8,5";"82";"6";"4";"21";"0";"1013";"1001";"0";""
Milano;6/4/1990;"9,9";"9,5";"10,4";"8,9";"93";"5";"6";"11";"0";"1009";"997";"0";"pioggia "
Milano;7/4/1990;"10,5";"9,5";"12,5";"9,5";"94";"6";"4";"11";"0";"1003";"991";"117,1";"pioggia "
Milano;8/4/1990;"11,1";"0,6";"16,8";"9,3";"89";"4";"5";"28";"0";"1006";"993";"0";"pioggia temporale nebbia "
Milano;9/4/1990;"6,2";"5,2";"7,6";"5,1";"93";"6";"10";"24";"0";"1009";"996";"59,9";"pioggia "
Milano;10/4/1990;"9,6";"2";"17,3";"3,2";"64";"11";"7";"28";"0";"1003";"991";"0,3";""
Milano;11/4/1990;"12,4";"3,7";"18";"2,2";"50";"10";"9";"29";"0";"1006";"993";"0";""
Milano;12/4/1990;"11,9";"5";"19,4";"-2,9";"35";"31";"11";"22";"0";"1011";"998";"0";""
Milano;13/4/1990;"11";"3,1";"18,3";"2,2";"55";"15";"3";"11";"0";"1017";"1004";"0";""
Milano;14/4/1990;"9,5";"8";"11,1";"5,4";"76";"8";"6";"15";"0";"1015";"1002";"5,1";"pioggia "
Milano;15/4/1990;"8,7";"7,3";"11,3";"7,2";"90";"5";"2";"8";"0";"1012";"999";"3,1";"pioggia "
Milano;16/4/1990;"10,7";"3,5";"17,3";"4,9";"67";"9";"4";"9";"0";"1014";"1002";"0";"nebbia "
Milano;17/4/1990;"9,9";"4,2";"16,6";"4,8";"71";"14";"6";"13";"0";"1017";"1004";"0";"pioggia "
Milano;18/4/1990;"7,1";"6,2";"10,2";"5,6";"90";"7";"9";"26";"0";"1014";"1001";"19,1";"pioggia "
Milano;19/4/1990;"8,5";"4,7";"14,7";"5,1";"79";"10";"8";"18";"0";"1009";"996";"2";"pioggia "
Milano;20/4/1990;"7,6";"6,2";"10,2";"6";"90";"9";"10";"17";"0";"1006";"994";"7,1";"pioggia "
Milano;21/4/1990;"9,9";"7,2";"15,2";"6,1";"77";"10";"6";"13";"0";"1007";"995";"1";"pioggia "
Milano;22/4/1990;"8";"4,8";"11,5";"6,6";"91";"6";"6";"11";"0";"1011";"998";"2";"pioggia "
Milano;23/4/1990;"8,9";"7";"12";"6,8";"87";"8";"2";"9";"0";"1009";"996";"3,1";"pioggia "
Milano;24/4/1990;"9,9";"4,9";"15,7";"6,8";"81";"6";"3";"11";"0";"1013";"1000";"2";"temporale "
Milano;25/4/1990;"10,9";"3,7";"19,2";"6,3";"73";"7";"5";"15";"0";"1015";"1002";"0";"nebbia "
Milano;26/4/1990;"13,5";"7,4";"20,7";"6,6";"63";"9";"9";"35";"0";"1016";"1003";"0";""
Milano;27/4/1990;"14,8";"3,8";"22,2";"5,5";"54";"11";"7";"22";"0";"1018";"1006";"0";""
Milano;28/4/1990;"16,7";"10,3";"23,2";"8,7";"59";"14";"19";"26";"0";"1018";"1006";"0";""
Milano;29/4/1990;"14,7";"8,8";"20,3";"8";"64";"9";"7";"21";"0";"1022";"1009";"0";""
Milano;30/4/1990;"14,8";"9,2";"20,6";"5,4";"53";"11";"3";"9";"0";"1026";"1013";"0";""
