LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/9/1992;"20,2";"16";"26";"7,1";"43";"10";"14";"33";"52";"0";"0";"0";""
Milano;2/9/1992;"18,7";"10,8";"26";"9,6";"55";"10";"2";"9";"0";"0";"0";"0";""
Milano;3/9/1992;"19,8";"11";"27";"12,4";"62";"10";"5";"15";"0";"0";"0";"0";""
Milano;4/9/1992;"19,7";"13,8";"26,6";"9,8";"53";"10";"11";"39";"54";"0";"0";"0";""
Milano;5/9/1992;"18,3";"11,4";"24,2";"-0,3";"28";"10";"15";"29";"0";"0";"0";"0";""
Milano;6/9/1992;"16,8";"7,4";"27";"4,8";"45";"11";"2";"13";"0";"0";"0";"0";""
Milano;7/9/1992;"17,7";"8,8";"25";"10,6";"63";"11";"4";"13";"0";"0";"0";"0";""
Milano;8/9/1992;"19,9";"11,9";"25,4";"14,8";"72";"10";"3";"9";"0";"0";"0";"0";"pioggia "
Milano;9/9/1992;"20,1";"18";"24";"17,3";"84";"6";"3";"17";"0";"0";"0";"1";"pioggia "
Milano;10/9/1992;"18,8";"17";"20";"17,7";"93";"6";"6";"15";"0";"0";"0";"1,5";"pioggia "
Milano;11/9/1992;"20,7";"17";"26";"17,3";"81";"5";"2";"11";"0";"0";"0";"0";""
Milano;12/9/1992;"20,8";"13,5";"28,1";"16";"74";"6";"0";"7";"0";"0";"0";"0";""
Milano;13/9/1992;"21,8";"13,7";"28,3";"14,8";"64";"8";"0";"9";"0";"0";"0";"0";""
Milano;14/9/1992;"20,7";"14,5";"26";"16,3";"76";"5";"1";"9";"0";"0";"0";"0";""
Milano;15/9/1992;"21,2";"13,3";"28";"16,1";"73";"5";"3";"9";"0";"0";"0";"0";"nebbia "
Milano;16/9/1992;"20,9";"16,3";"27,4";"17,6";"81";"4";"1";"8";"0";"0";"0";"0";"pioggia "
Milano;17/9/1992;"21,6";"16";"28,2";"17,1";"76";"3";"2";"28";"0";"0";"0";"0";""
Milano;18/9/1992;"22,2";"15";"29";"17,7";"76";"3";"0";"9";"0";"0";"0";"0";""
Milano;19/9/1992;"22,3";"18";"27,1";"17,7";"75";"3";"0";"5";"0";"0";"0";"0";""
Milano;20/9/1992;"21,4";"17,4";"26,3";"16,2";"72";"5";"2";"8";"0";"0";"0";"0";""
Milano;21/9/1992;"21,3";"16";"27";"15,2";"68";"5";"3";"9";"0";"0";"0";"0";"pioggia "
Milano;22/9/1992;"20,8";"17";"25";"18,2";"85";"5";"5";"74";"0";"0";"0";"0";"pioggia temporale "
Milano;23/9/1992;"17,9";"16";"21";"17,6";"98";"5";"2";"9";"0";"0";"0";"20,1";"pioggia temporale "
Milano;24/9/1992;"19,3";"16";"23";"16,9";"86";"6";"1";"13";"0";"0";"0";"1";"pioggia "
Milano;25/9/1992;"19,4";"13,5";"23,4";"15,7";"79";"7";"2";"15";"0";"0";"0";"0";"pioggia "
Milano;26/9/1992;"20,1";"16";"24,2";"15,6";"75";"6";"2";"11";"0";"0";"0";"2";"pioggia nebbia "
Milano;27/9/1992;"17,5";"12,5";"22,5";"16,6";"94";"4";"5";"24";"35";"0";"0";"16";"pioggia temporale "
Milano;28/9/1992;"19";"17";"23";"17,3";"90";"6";"4";"15";"0";"0";"0";"43,9";"pioggia temporale "
Milano;29/9/1992;"17,5";"14";"22";"14,6";"83";"9";"4";"15";"0";"0";"0";"0,5";"pioggia "
Milano;30/9/1992;"17,4";"10,8";"25,3";"12,6";"73";"10";"1";"7";"0";"0";"0";"0";""
