LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/7/1996;"20,9";"18,9";"24,3";"18,3";"85";"7";"6";"11";"0";"1010";"997";"1";"pioggia "
Milano;2/7/1996;"17,9";"15";"21,5";"16,7";"93";"6";"5";"17";"0";"1009";"997";"12,5";"pioggia nebbia "
Milano;3/7/1996;"20,1";"13,7";"25,5";"14,3";"69";"7";"6";"11";"0";"1013";"1001";"0,5";"nebbia "
Milano;4/7/1996;"23,1";"16,7";"28,2";"16,8";"68";"8";"6";"11";"0";"1016";"1004";"0";""
Milano;5/7/1996;"22,8";"19,9";"25,9";"18,2";"75";"8";"6";"15";"0";"1012";"1001";"0";"pioggia "
Milano;6/7/1996;"23,2";"17";"28,5";"17,8";"72";"11";"4";"9";"0";"1006";"995";"1";""
Milano;7/7/1996;"22,7";"18,5";"29,4";"17,1";"71";"12";"12";"24";"0";"1003";"991";"0";"pioggia "
Milano;8/7/1996;"19,9";"15";"25,5";"15,8";"77";"20";"21";"35";"59";"1001";"990";"16";"pioggia "
Milano;9/7/1996;"22,1";"17,3";"28,9";"1";"25";"29";"22";"31";"52";"1016";"1004";"0";""
Milano;10/7/1996;"19,4";"13,3";"26,7";"9,8";"54";"17";"8";"15";"0";"1018";"1006";"0";""
Milano;11/7/1996;"21,8";"14,4";"28,2";"15,2";"66";"9";"7";"13";"0";"1018";"1006";"0";""
Milano;12/7/1996;"23,3";"16,1";"29,8";"15,2";"60";"11";"6";"11";"0";"1017";"1005";"0";""
Milano;13/7/1996;"24,4";"19,7";"29,6";"16,4";"61";"13";"5";"11";"0";"1020";"1009";"0";""
Milano;14/7/1996;"24,9";"19,2";"32,1";"18,9";"69";"8";"4";"17";"0";"1023";"1011";"0";"pioggia "
Milano;15/7/1996;"24,2";"20,6";"30,9";"20,1";"78";"10";"8";"21";"0";"1020";"1008";"2";"pioggia "
Milano;16/7/1996;"27,5";"22";"35,8";"21,7";"71";"7";"6";"13";"0";"1017";"1005";"0";""
Milano;17/7/1996;"23,5";"20,6";"26,7";"20,1";"81";"8";"14";"22";"0";"1018";"1006";"0";""
Milano;18/7/1996;"24,2";"19,5";"29,6";"18,3";"70";"9";"7";"11";"0";"1017";"1005";"0";""
Milano;19/7/1996;"24,4";"19,8";"29,2";"18,2";"68";"8";"12";"18";"0";"1016";"1005";"0";""
Milano;20/7/1996;"21,9";"17,8";"26,2";"14,3";"62";"12";"13";"21";"0";"1020";"1008";"0,5";"pioggia "
Milano;21/7/1996;"22,6";"17,9";"27";"14,4";"60";"11";"8";"15";"0";"1022";"1010";"0";""
Milano;22/7/1996;"22,9";"16,8";"29";"15";"61";"11";"7";"11";"0";"1022";"1010";"0";""
Milano;23/7/1996;"24,1";"17,9";"30,9";"16,7";"63";"10";"7";"11";"0";"1021";"1009";"0";""
Milano;24/7/1996;"23,6";"19,7";"28,5";"19,4";"77";"10";"7";"13";"0";"1015";"1003";"0,5";"pioggia "
Milano;25/7/1996;"26,9";"20,3";"32,9";"20,2";"67";"15";"9";"15";"0";"1012";"1000";"0";""
Milano;26/7/1996;"25,4";"20";"31,7";"19,6";"70";"8";"8";"13";"0";"1016";"1004";"0";""
Milano;27/7/1996;"24,8";"21,7";"29";"19,9";"74";"8";"7";"22";"0";"1019";"1007";"0";"pioggia "
Milano;28/7/1996;"23,1";"19,5";"30";"20,2";"84";"7";"7";"18";"41";"1017";"1005";"3,1";"pioggia temporale "
Milano;29/7/1996;"25,8";"19,5";"32,5";"19,2";"67";"7";"4";"9";"0";"1014";"1002";"0";""
Milano;30/7/1996;"24,1";"20";"29,1";"18,7";"72";"10";"7";"13";"0";"1011";"999";"1";"pioggia temporale "
Milano;31/7/1996;"25,4";"17,1";"31,6";"16,6";"58";"15";"5";"13";"0";"1014";"1002";"0";""
