LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/10/1998;"17,1";"14";"22,2";"14,2";"83";"9";"6";"18";"0";"1005";"993";"8,9";"pioggia temporale "
Milano;2/10/1998;"17,1";"12,8";"22,9";"12,8";"76";"11";"2";"13";"0";"1006";"994";"1";"pioggia temporale "
Milano;3/10/1998;"16,9";"12,4";"22,7";"12,6";"76";"10";"2";"8";"0";"1007";"994";"3,1";""
Milano;4/10/1998;"15,3";"14";"17,1";"13,9";"91";"6";"8";"15";"0";"1006";"994";"2";"pioggia "
Milano;5/10/1998;"14,6";"13,9";"15,5";"13,2";"91";"6";"7";"13";"0";"1006";"994";"18";"pioggia "
Milano;6/10/1998;"16,2";"14";"19,2";"14,7";"91";"8";"9";"21";"0";"1008";"996";"22,1";"pioggia "
Milano;7/10/1998;"17,6";"15,5";"22,1";"14,9";"84";"12";"4";"8";"0";"1009";"997";"0";"pioggia "
Milano;8/10/1998;"15,9";"14";"20,1";"13,4";"85";"10";"5";"15";"0";"1014";"1002";"26,9";"pioggia temporale "
Milano;9/10/1998;"16";"13,9";"19,8";"13,5";"85";"9";"2";"5";"0";"1021";"1009";"0";""
Milano;10/10/1998;"15,3";"11,9";"21,6";"11,9";"80";"6";"2";"8";"0";"1018";"1006";"0";"nebbia "
Milano;11/10/1998;"16,7";"12,5";"22,4";"12,1";"74";"9";"4";"13";"0";"1015";"1003";"0";""
Milano;12/10/1998;"16,6";"10,1";"23";"10,6";"68";"9";"7";"37";"0";"1010";"998";"0";""
Milano;13/10/1998;"17,6";"10,9";"24";"3,7";"40";"21";"9";"21";"0";"1018";"1005";"0";""
Milano;14/10/1998;"15,9";"8,8";"22,7";"9,7";"67";"11";"2";"8";"0";"1023";"1010";"0";""
Milano;15/10/1998;"16,1";"9,4";"22,7";"11,7";"75";"8";"3";"9";"0";"1023";"1010";"0";""
Milano;16/10/1998;"16,7";"10,7";"23";"12,7";"77";"7";"1";"5";"0";"1023";"1010";"0";"nebbia "
Milano;17/10/1998;"17,1";"15,7";"19";"15,4";"90";"3";"2";"5";"0";"1020";"1007";"0";"pioggia "
Milano;18/10/1998;"16,8";"14,8";"19,4";"15,3";"91";"3";"1";"8";"0";"1016";"1004";"0,5";"pioggia "
Milano;19/10/1998;"15";"13";"16,5";"13,8";"93";"5";"5";"17";"0";"1011";"999";"9,9";"pioggia nebbia "
Milano;20/10/1998;"14,7";"11";"20,2";"11,4";"81";"5";"4";"9";"0";"1018";"1006";"0";"nebbia "
Milano;21/10/1998;"12,6";"9,1";"16,6";"9,3";"80";"6";"2";"5";"0";"1029";"1016";"0";""
Milano;22/10/1998;"12,3";"7,4";"19,2";"9,3";"82";"3";"1";"5";"0";"1031";"1018";"0";"nebbia "
Milano;23/10/1998;"12,8";"6,8";"19,9";"9,2";"79";"3";"2";"5";"0";"1026";"1013";"0";"nebbia "
Milano;24/10/1998;"14,4";"8,9";"21,6";"10,4";"77";"3";"4";"11";"0";"1015";"1003";"0";"nebbia "
Milano;25/10/1998;"13";"11";"16";"11,6";"91";"3";"5";"15";"0";"1005";"993";"3,1";"pioggia "
Milano;26/10/1998;"13,8";"6,1";"22,1";"5,8";"58";"12";"6";"15";"0";"1010";"997";"0";"nebbia "
Milano;27/10/1998;"13,3";"7,2";"21,8";"4,7";"56";"18";"6";"13";"0";"1019";"1007";"0";""
Milano;28/10/1998;"13,8";"6,8";"21,7";"9,2";"74";"10";"3";"9";"0";"1018";"1006";"0";""
Milano;29/10/1998;"15,8";"9";"22,1";"11,1";"74";"9";"7";"28";"47";"1012";"1000";"0";""
Milano;30/10/1998;"13,4";"8";"21,3";"1,9";"46";"15";"4";"8";"0";"1015";"1003";"0";""
Milano;31/10/1998;"11,7";"6,2";"17,8";"5,8";"67";"14";"3";"11";"0";"1014";"1001";"0";""
