LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/5/2002;"17,7";"13,3";"24";"11,9";"69";"8";"6";"11";"0";"0";"0";"0,8";"pioggia "
Milano;2/5/2002;"15,5";"14";"17,3";"13,6";"88";"6";"19";"35";"48";"0";"0";"0,5";"pioggia "
Milano;3/5/2002;"15,3";"13";"17,8";"13,6";"90";"6";"25";"37";"57";"0";"0";"6,6";"pioggia temporale "
Milano;4/5/2002;"12,5";"10";"15,6";"10,4";"87";"6";"7";"15";"0";"0";"0";"24,1";"pioggia temporale "
Milano;5/5/2002;"11,7";"9,7";"16,7";"8,8";"82";"8";"5";"17";"0";"0";"0";"11,9";"pioggia temporale "
Milano;6/5/2002;"14";"7,9";"20,5";"7,1";"63";"11";"3";"8";"0";"0";"0";"0,5";"pioggia "
Milano;7/5/2002;"16,3";"6,9";"23,7";"7,1";"54";"11";"5";"11";"0";"0";"0";"0";""
Milano;8/5/2002;"15,4";"14";"16,8";"12,6";"83";"7";"9";"21";"0";"0";"0";"15,5";"pioggia "
Milano;9/5/2002;"15,1";"10";"17,2";"13,2";"88";"5";"12";"18";"0";"0";"0";"24,9";"pioggia "
Milano;10/5/2002;"14,1";"8,5";"19,6";"11,3";"83";"10";"5";"22";"0";"0";"0";"1";"pioggia "
Milano;11/5/2002;"15,8";"13";"21,8";"12,1";"79";"8";"3";"9";"0";"0";"0";"9,9";"pioggia "
Milano;12/5/2002;"17,1";"10,9";"24";"12,6";"75";"8";"4";"17";"0";"0";"0";"0";"temporale nebbia "
Milano;13/5/2002;"18,6";"12,6";"24,5";"12,1";"66";"10";"6";"13";"0";"0";"0";"1";""
Milano;14/5/2002;"18,8";"11,9";"25,4";"13,4";"71";"10";"11";"15";"0";"0";"0";"0";""
Milano;15/5/2002;"20";"12";"27,1";"13,8";"67";"10";"3";"8";"0";"0";"0";"0";""
Milano;16/5/2002;"21,9";"14,4";"28,7";"14,9";"64";"8";"4";"9";"0";"0";"0";"0";""
Milano;17/5/2002;"21,9";"14,9";"29,3";"12,1";"54";"9";"5";"11";"0";"0";"0";"0";""
Milano;18/5/2002;"19,4";"13,8";"25";"12,5";"64";"11";"7";"18";"0";"0";"0";"0";""
Milano;19/5/2002;"19,3";"12,8";"27,2";"13,4";"69";"11";"6";"21";"0";"0";"0";"0";""
Milano;20/5/2002;"20,4";"14,6";"26,3";"13,7";"65";"11";"10";"17";"0";"0";"0";"0";""
Milano;21/5/2002;"20,5";"15";"26,5";"14,3";"68";"11";"7";"13";"0";"0";"0";"0";""
Milano;22/5/2002;"20,5";"14";"26";"14,9";"70";"9";"4";"11";"0";"0";"0";"0";""
Milano;23/5/2002;"17,8";"15";"20,1";"16,2";"90";"6";"11";"24";"0";"0";"0";"0";"pioggia temporale "
Milano;24/5/2002;"19,2";"11,2";"26,4";"13";"67";"11";"6";"11";"0";"0";"0";"39,9";"pioggia "
Milano;25/5/2002;"19,9";"15";"27";"15,9";"78";"9";"9";"22";"0";"0";"0";"1";"pioggia temporale "
Milano;26/5/2002;;;;;;;;;;;;;
Milano;27/5/2002;;;;;;;;;;;;;
Milano;28/5/2002;;;;;;;;;;;;;
Milano;29/5/2002;;;;;;;;;;;;;
Milano;30/5/2002;;;;;;;;;;;;;
Milano;31/5/2002;;;;;;;;;;;;;
