LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/8/2014;"25";"20";"29";"20";"75";"9";"5";"9";"0";"1010";"0";"0";"nebbia "
Milano;2/8/2014;"24";"21";"27";"19";"75";"12";"7";"20";"0";"1010";"0";"0";"pioggia temporale "
Milano;3/8/2014;"22";"18";"26";"17";"78";"12";"7";"22";"0";"1012";"0";"0";"pioggia temporale "
Milano;4/8/2014;"23";"16";"29";"18";"73";"10";"6";"15";"0";"1014";"0";"0";"pioggia temporale "
Milano;5/8/2014;"24";"18";"29";"18";"71";"10";"7";"15";"0";"1014";"0";"0";""
Milano;6/8/2014;"24";"19";"29";"18";"68";"10";"6";"13";"0";"1014";"0";"0";""
Milano;7/8/2014;"25";"20";"29";"18";"65";"10";"6";"11";"0";"1013";"0";"0";""
Milano;8/8/2014;"25";"21";"29";"18";"64";"10";"6";"17";"0";"1031";"0";"0";"temporale "
Milano;9/8/2014;"24";"21";"29";"21";"82";"9";"6";"9";"0";"1014";"0";"0";"pioggia temporale "
Milano;10/8/2014;"25";"22";"29";"20";"72";"10";"6";"11";"0";"1015";"0";"0";"temporale "
Milano;11/8/2014;"25";"21";"30";"20";"70";"10";"6";"13";"0";"1012";"0";"0";""
Milano;12/8/2014;"25";"21";"30";"19";"69";"10";"7";"20";"0";"1011";"0";"0";""
Milano;13/8/2014;"21";"20";"23";"19";"87";"9";"8";"17";"0";"1007";"0";"0";"pioggia "
Milano;14/8/2014;"23";"18";"27";"15";"65";"14";"8";"20";"0";"1008";"0";"0";""
Milano;15/8/2014;"20";"17";"25";"15";"70";"12";"10";"19";"0";"1012";"0";"0";""
Milano;16/8/2014;"20";"16";"23";"14";"70";"15";"8";"15";"0";"1016";"0";"0";"pioggia temporale "
Milano;17/8/2014;"20";"13";"26";"13";"67";"14";"6";"11";"0";"1017";"0";"0";""
Milano;18/8/2014;"22";"17";"26";"15";"64";"10";"7";"15";"0";"1013";"0";"0";""
Milano;19/8/2014;"19";"17";"20";"18";"93";"8";"9";"15";"0";"1012";"0";"0";"pioggia temporale "
Milano;20/8/2014;"20";"18";"24";"18";"90";"9";"7";"15";"0";"1013";"0";"0";"pioggia temporale "
Milano;21/8/2014;"20";"15";"25";"16";"80";"11";"6";"13";"0";"1013";"0";"0";"nebbia "
Milano;22/8/2014;"21";"19";"25";"17";"76";"10";"7";"13";"0";"1014";"0";"0";""
Milano;23/8/2014;"20";"16";"24";"17";"82";"9";"8";"17";"0";"1013";"0";"0";"pioggia "
Milano;24/8/2014;"20";"14";"27";"15";"74";"16";"4";"9";"0";"1014";"0";"0";"nebbia "
Milano;25/8/2014;"20";"17";"22";"15";"73";"10";"10";"17";"0";"1017";"0";"0";"pioggia "
Milano;26/8/2014;"19";"18";"21";"17";"85";"9";"6";"11";"0";"1012";"0";"0";"pioggia "
Milano;27/8/2014;"23";"18";"28";"18";"76";"11";"8";"15";"0";"1010";"0";"0";""
Milano;28/8/2014;"22";"19";"25";"18";"79";"9";"10";"19";"0";"1016";"0";"0";""
Milano;29/8/2014;"22";"18";"27";"17";"74";"10";"5";"9";"0";"1017";"0";"0";""
Milano;30/8/2014;"24";"21";"28";"18";"72";"9";"4";"7";"0";"1016";"0";"0";""
Milano;31/8/2014;"23";"19";"27";"17";"70";"10";"6";"11";"32";"1012";"0";"0";"pioggia temporale "
