LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/11/2018;"12";"10";"15";"11";"92";"17";"10";"31";"0";"1017";"0";"0";"pioggia "
Milano;2/11/2018;"13";"12";"15";"12";"95";"13";"4";"8";"0";"1019";"0";"0";"pioggia "
Milano;3/11/2018;"14";"12";"17";"13";"93";"17";"5";"9";"0";"1022";"0";"0";"pioggia nebbia "
Milano;4/11/2018;"15";"11";"17";"13";"89";"15";"5";"17";"0";"1016";"0";"0";"pioggia nebbia "
Milano;5/11/2018;"15";"14";"17";"14";"91";"14";"9";"17";"0";"1014";"0";"0";"pioggia temporale "
Milano;6/11/2018;"16";"14";"18";"14";"90";"15";"16";"28";"0";"1014";"0";"0";"pioggia "
Milano;7/11/2018;"15";"13";"17";"14";"90";"13";"6";"15";"0";"1016";"0";"0";"pioggia "
Milano;8/11/2018;"14";"13";"17";"13";"92";"16";"5";"9";"0";"1021";"0";"0";"pioggia "
Milano;9/11/2018;"14";"12";"16";"13";"93";"12";"4";"8";"0";"1019";"0";"0";"pioggia "
Milano;10/11/2018;"13";"12";"14";"12";"95";"6";"10";"17";"0";"1016";"0";"0";"pioggia nebbia "
Milano;11/11/2018;"13";"12";"14";"12";"95";"5";"8";"17";"0";"1020";"0";"0";"pioggia "
Milano;12/11/2018;"14";"13";"15";"13";"96";"13";"5";"8";"0";"1026";"0";"0";"pioggia "
Milano;13/11/2018;"14";"13";"18";"13";"93";"12";"6";"9";"0";"1027";"0";"0";"pioggia nebbia "
Milano;14/11/2018;"14";"11";"16";"13";"94";"4";"5";"8";"0";"1028";"0";"0";"nebbia "
Milano;15/11/2018;"13";"10";"14";"12";"93";"3";"4";"9";"0";"1026";"0";"0";"nebbia "
Milano;16/11/2018;"11";"7";"14";"6";"73";"17";"11";"21";"0";"1026";"0";"0";""
Milano;17/11/2018;"9";"5";"12";"3";"67";"21";"5";"13";"0";"1026";"0";"0";""
Milano;18/11/2018;"6";"2";"10";"2";"63";"19";"6";"9";"0";"1021";"0";"0";""
Milano;19/11/2018;"5";"2";"8";"1";"72";"19";"10";"21";"0";"1010";"0";"0";"pioggia "
Milano;20/11/2018;"5";"3";"7";"3";"91";"16";"6";"11";"0";"1008";"0";"0";"pioggia "
Milano;21/11/2018;"4";"1";"8";"4";"95";"10";"6";"11";"0";"1014";"0";"0";"pioggia nebbia "
Milano;22/11/2018;"9";"6";"12";"7";"90";"9";"3";"8";"0";"1019";"0";"0";""
Milano;23/11/2018;"9";"8";"9";"8";"96";"5";"6";"11";"0";"1021";"0";"0";"pioggia "
Milano;24/11/2018;"9";"8";"10";"8";"95";"10";"6";"11";"0";"1015";"0";"0";"pioggia "
Milano;25/11/2018;"9";"7";"12";"8";"91";"14";"5";"9";"0";"1008";"0";"0";"pioggia "
Milano;26/11/2018;"10";"8";"13";"8";"87";"13";"6";"11";"0";"1000";"0";"0";"pioggia "
Milano;27/11/2018;"9";"5";"14";"7";"85";"17";"5";"9";"0";"1008";"0";"0";""
Milano;28/11/2018;"6";"1";"12";"2";"81";"14";"4";"8";"0";"1019";"0";"0";"nebbia "
Milano;29/11/2018;"5";"2";"8";"2";"85";"15";"6";"13";"0";"1025";"0";"0";"nebbia "
Milano;30/11/2018;"3";"0";"6";"2";"92";"6";"4";"9";"0";"1021";"0";"0";"nebbia "
